"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Western Pacific","Micronesia (Federated States of)","Female","12.8 [5.7-21.3]","12.82510","5.70000","21.30750","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Western Pacific","Micronesia (Federated States of)","Both sexes","27.0 [15.0-40.9]","27.00090","14.95880","40.86060","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Western Pacific","Micronesia (Federated States of)","Both sexes","27.5 [14.4-42.4]","27.52160","14.40880","42.35370","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Western Pacific","Micronesia (Federated States of)","Both sexes","29.0 [11.8-47.0]","28.98560","11.80490","47.00430","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Western Pacific","Micronesia (Federated States of)","Male","41.8 [23.0-63.2]","41.77580","23.03290","63.17190","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Western Pacific","Micronesia (Federated States of)","Both sexes","27.4 [12.7-43.0]","27.40410","12.72860","43.00660","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Western Pacific","Micronesia (Federated States of)","Male","43.4 [24.2-64.5]","43.35750","24.15770","64.53250","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Western Pacific","Micronesia (Federated States of)","Both sexes","27.1 [15.5-40.7]","27.10600","15.48330","40.74380","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Western Pacific","Micronesia (Federated States of)","Female","12.1 [6.2-19.5]","12.08600","6.18000","19.51470","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Western Pacific","Micronesia (Federated States of)","Male","43.5 [18.3-68.4]","43.54800","18.28870","68.37341","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Western Pacific","Micronesia (Federated States of)","Female","13.2 [5.4-22.1]","13.20900","5.44000","22.09180","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Western Pacific","Micronesia (Federated States of)","Female","12.3 [6.7-19.1]","12.30640","6.67000","19.12610","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Western Pacific","Micronesia (Federated States of)","Male","42.4 [23.9-63.1]","42.37590","23.88410","63.10920","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Western Pacific","Micronesia (Federated States of)","Female","12.7 [5.7-21.0]","12.66460","5.71000","21.01820","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Western Pacific","Micronesia (Federated States of)","Male","41.8 [23.7-63.1]","41.83190","23.74260","63.07180","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Western Pacific","Micronesia (Federated States of)","Female","12.0 [5.9-19.2]","12.02160","5.86000","19.20650","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Western Pacific","Micronesia (Federated States of)","Female","12.0 [5.9-19.1]","12.03200","5.87000","19.09810","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Western Pacific","Micronesia (Federated States of)","Female","13.0 [7.7-20.0]","12.95730","7.69000","20.03680","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Western Pacific","Micronesia (Federated States of)","Both sexes","28.7 [11.7-45.9]","28.68340","11.69530","45.91690","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Western Pacific","Micronesia (Federated States of)","Both sexes","27.0 [14.9-41.1]","27.00450","14.94400","41.13860","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Western Pacific","Micronesia (Federated States of)","Female","12.9 [5.9-21.4]","12.87130","5.91000","21.42280","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Western Pacific","Micronesia (Federated States of)","Both sexes","27.4 [12.4-43.4]","27.40720","12.37280","43.35200","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Western Pacific","Micronesia (Federated States of)","Male","42.3 [23.9-63.2]","42.32030","23.93270","63.16230","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Western Pacific","Micronesia (Federated States of)","Male","41.0 [23.1-61.1]","40.98570","23.05790","61.06010","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Western Pacific","Micronesia (Federated States of)","Female","12.4 [5.7-20.5]","12.39930","5.73000","20.52540","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Western Pacific","Micronesia (Federated States of)","Male","41.9 [24.0-63.0]","41.90890","23.95670","62.97700","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Western Pacific","Micronesia (Federated States of)","Both sexes","27.4 [15.3-41.2]","27.36550","15.29100","41.18350","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Western Pacific","Micronesia (Federated States of)","Both sexes","27.0 [14.6-41.5]","26.98770","14.59120","41.47920","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Western Pacific","Micronesia (Federated States of)","Male","43.1 [24.6-64.0]","43.13430","24.59010","64.03670","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Western Pacific","Micronesia (Federated States of)","Female","13.1 [5.6-21.8]","13.12170","5.64000","21.78200","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Western Pacific","Micronesia (Federated States of)","Male","42.1 [19.3-65.2]","42.10900","19.30640","65.19320","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Western Pacific","Micronesia (Federated States of)","Female","12.5 [7.4-19.2]","12.49550","7.42000","19.20920","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Western Pacific","Micronesia (Federated States of)","Female","12.1 [7.2-18.7]","12.09070","7.15000","18.65400","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Western Pacific","Micronesia (Federated States of)","Both sexes","28.4 [12.2-45.1]","28.37210","12.16560","45.14440","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Western Pacific","Micronesia (Federated States of)","Both sexes","29.1 [11.9-46.7]","29.06540","11.87990","46.69400","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Western Pacific","Micronesia (Federated States of)","Both sexes","27.3 [15.5-40.9]","27.25880","15.54920","40.89780","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Western Pacific","Micronesia (Federated States of)","Both sexes","27.6 [15.6-41.5]","27.64750","15.60090","41.45520","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Western Pacific","Micronesia (Federated States of)","Male","42.1 [18.9-65.7]","42.12050","18.90490","65.73360","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Western Pacific","Micronesia (Federated States of)","Both sexes","27.0 [15.0-41.4]","27.01850","15.00700","41.36980","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Western Pacific","Micronesia (Federated States of)","Male","41.1 [23.1-61.3]","41.09400","23.08220","61.26240","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Western Pacific","Micronesia (Federated States of)","Male","42.5 [22.5-64.3]","42.48440","22.52510","64.32510","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Western Pacific","Micronesia (Federated States of)","Both sexes","27.6 [13.7-42.9]","27.58290","13.72810","42.86530","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Western Pacific","Micronesia (Federated States of)","Female","12.4 [6.2-20.4]","12.43730","6.19000","20.36970","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Western Pacific","Micronesia (Federated States of)","Both sexes","26.3 [15.0-39.4]","26.27670","14.96810","39.40500","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Western Pacific","Micronesia (Federated States of)","Male","42.5 [21.2-65.0]","42.47180","21.15500","64.97660","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Western Pacific","Micronesia (Federated States of)","Male","44.1 [17.6-69.9]","44.13560","17.55680","69.89700","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Western Pacific","Micronesia (Federated States of)","Male","41.9 [24.0-62.6]","41.94810","24.00330","62.62370","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Western Pacific","Micronesia (Federated States of)","Female","12.3 [6.2-20.1]","12.34550","6.19000","20.06880","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Western Pacific","Micronesia (Federated States of)","Both sexes","28.0 [15.8-42.0]","27.97580","15.81590","42.01990","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Western Pacific","Micronesia (Federated States of)","Male","44.3 [18.0-71.2]","44.32280","18.01760","71.23060","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Africa","Gabon","Female","5.7 [3.3-9.2]","5.74000","3.29000","9.22000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Africa","Gabon","Female","6.6 [3.8-10.7]","6.64000","3.82000","10.67510","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Africa","Gabon","Female","5.6 [3.2-9.0]","5.60000","3.19000","9.01000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Africa","Gabon","Female","4.4 [2.5-7.1]","4.40000","2.49000","7.09000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Africa","Gabon","Female","4.2 [2.4-6.7]","4.20000","2.40000","6.74000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Africa","Gabon","Both sexes","16.9 [10.0-25.9]","16.85480","10.04010","25.94800","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Africa","Gabon","Both sexes","15.2 [8.9-23.5]","15.21370","8.93000","23.53240","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Africa","Gabon","Female","5.3 [3.1-8.6]","5.34000","3.05000","8.62000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Africa","Gabon","Both sexes","13.6 [8.0-21.5]","13.56640","7.99000","21.54300","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Africa","Gabon","Both sexes","15.4 [9.1-24.5]","15.38770","9.05000","24.46510","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Africa","Gabon","Male","27.5 [16.4-42.8]","27.51530","16.41030","42.80510","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Africa","Gabon","Male","27.0 [16.0-42.7]","26.98850","15.99350","42.66310","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Africa","Gabon","Male","29.5 [17.8-45.5]","29.53160","17.82340","45.53640","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Africa","Gabon","Male","27.3 [16.5-42.3]","27.33530","16.50330","42.33230","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Africa","Gabon","Male","26.0 [15.4-39.8]","25.99010","15.35990","39.82170","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Africa","Gabon","Female","4.8 [2.7-7.9]","4.84000","2.73000","7.85000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Africa","Gabon","Female","4.0 [2.3-6.4]","3.97000","2.27000","6.37000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Africa","Gabon","Male","23.3 [13.4-37.7]","23.30720","13.40580","37.68210","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Africa","Gabon","Male","27.5 [16.6-42.6]","27.48410","16.56360","42.59200","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Africa","Gabon","Male","24.5 [14.3-39.1]","24.48130","14.33040","39.08380","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Africa","Gabon","Male","26.5 [15.7-42.3]","26.54630","15.71160","42.25650","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Africa","Gabon","Both sexes","18.3 [10.8-28.2]","18.31300","10.83320","28.20060","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Africa","Gabon","Both sexes","16.0 [9.6-24.9]","16.00220","9.59000","24.90540","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Africa","Gabon","Male","33.2 [19.6-50.7]","33.19170","19.55130","50.73260","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Africa","Gabon","Both sexes","15.9 [9.5-24.8]","15.88770","9.47000","24.84730","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Africa","Gabon","Both sexes","15.2 [8.9-24.3]","15.17320","8.89000","24.29830","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Africa","Gabon","Male","24.0 [13.9-38.5]","24.00250","13.90150","38.48180","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Africa","Gabon","Female","6.6 [3.9-10.4]","6.59000","3.91000","10.42290","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Africa","Gabon","Female","6.1 [3.5-9.6]","6.05000","3.52000","9.62000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Africa","Gabon","Female","7.5 [4.4-11.7]","7.50000","4.39000","11.73540","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Africa","Gabon","Male","24.3 [14.4-38.4]","24.29090","14.40910","38.35410","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Africa","Gabon","Female","4.9 [2.8-7.8]","4.85000","2.77000","7.82000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Africa","Gabon","Both sexes","15.7 [9.3-24.3]","15.65930","9.27000","24.27250","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Africa","Gabon","Both sexes","14.6 [8.5-23.3]","14.55030","8.50000","23.31080","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Africa","Gabon","Male","28.9 [17.2-44.1]","28.85640","17.22270","44.09370","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Africa","Gabon","Both sexes","13.6 [7.8-21.8]","13.56080","7.80000","21.82260","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Africa","Gabon","Male","26.9 [16.0-41.3]","26.85180","16.01180","41.26150","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Africa","Gabon","Both sexes","16.6 [9.8-25.7]","16.59850","9.82000","25.67740","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Africa","Gabon","Male","27.4 [16.4-42.5]","27.37200","16.41940","42.51430","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Africa","Gabon","Female","4.0 [2.3-6.5]","4.01000","2.26000","6.47000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Africa","Gabon","Both sexes","15.8 [9.3-24.8]","15.77500","9.32000","24.77160","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Africa","Gabon","Both sexes","19.4 [11.4-29.8]","19.35810","11.37240","29.76030","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Africa","Gabon","Male","27.1 [16.4-41.8]","27.13080","16.43230","41.82790","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Africa","Gabon","Both sexes","13.1 [7.5-21.3]","13.11170","7.50000","21.26060","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Africa","Gabon","Female","6.1 [3.6-9.7]","6.11000","3.56000","9.71000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Africa","Gabon","Female","3.8 [2.1-6.2]","3.81000","2.14000","6.15000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Africa","Gabon","Both sexes","16.3 [9.8-25.5]","16.34570","9.77000","25.48150","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Africa","Gabon","Female","6.4 [3.7-10.3]","6.41000","3.72000","10.25460","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Africa","Gabon","Male","25.7 [15.1-40.9]","25.67130","15.12130","40.92220","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Africa","Gabon","Female","7.2 [4.3-11.4]","7.23000","4.29000","11.36680","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Africa","Gabon","Female","6.6 [3.9-10.4]","6.61000","3.94000","10.40190","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Africa","Gabon","Male","24.9 [14.8-39.0]","24.94760","14.79480","38.98940","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Africa","Gabon","Both sexes","15.8 [9.4-24.7]","15.77360","9.36000","24.72560","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Africa","Gabon","Both sexes","14.0 [8.2-22.0]","13.97190","8.22000","21.99200","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Africa","Gabon","Male","28.3 [16.8-43.4]","28.29480","16.78660","43.44150","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Africa","Gabon","Both sexes","17.3 [10.3-27.0]","17.33610","10.34730","27.00780","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Africa","Gabon","Both sexes","13.8 [8.1-22.2]","13.84970","8.05000","22.19650","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Africa","Gabon","Female","4.1 [2.4-6.6]","4.14000","2.35000","6.64000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Africa","Gabon","Male","31.3 [18.5-47.8]","31.27130","18.52350","47.83840","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Africa","Gabon","Female","7.0 [4.1-11.0]","6.97000","4.06000","11.04830","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.3 [7.0-10.8]","7.26000","6.99000","10.75580","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.4 [3.3-3.7]","3.44000","3.25000","3.65000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.9 [11.4-12.5]","11.90860","11.37730","12.49660","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.7 [11.3-12.1]","11.68800","11.30380","12.07440","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Europe","United Kingdom of Great Britain and Northern Ireland","Male","10.9 [10.6-11.3]","10.90010","10.55560","11.25400","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Male","10.6 [10.3-11.0]","10.61630","10.25610","11.03750","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Europe","United Kingdom of Great Britain and Northern Ireland","Male","10.6 [10.2-11.0]","10.60080","10.24100","10.98980","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.4 [3.2-3.5]","3.38000","3.23000","3.54000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.2 [3.1-10.0]","3.22000","3.06000","9.95000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.2 [7.0-7.5]","7.23000","6.96000","7.51000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.2 [6.9-7.6]","7.24000","6.91000","7.62000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.7 [7.5-8.0]","7.74000","7.45000","8.01000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.5 [7.2-7.8]","7.48000","7.21000","7.75000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.1 [10.6-11.7]","11.09950","10.61410","11.65940","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.5 [7.2-7.8]","7.50000","7.22000","7.77000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.9 [11.5-12.3]","11.94500","11.51990","12.34630","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Europe","United Kingdom of Great Britain and Northern Ireland","Male","10.8 [10.4-11.2]","10.78320","10.43580","11.17200","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","6.9 [6.7-7.2]","6.94000","6.69000","7.24000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.8 [7.5-8.2]","7.81000","7.46000","8.20000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.5 [3.3-3.7]","3.47000","3.29000","3.66000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","6.9 [6.6-7.2]","6.89000","6.64000","7.16000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.0 [6.7-7.2]","6.95000","6.68000","7.24000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","6.9 [6.5-7.3]","6.88000","6.51000","7.32000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.6 [11.1-12.0]","11.57340","11.12700","12.04340","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.3 [10.9-11.7]","11.30190","10.90640","11.71630","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.5 [3.4-3.7]","3.53000","3.35000","3.73000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.3 [3.1-3.4]","3.28000","3.12000","3.43000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.4 [3.2-3.6]","3.41000","3.21000","3.64000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Europe","United Kingdom of Great Britain and Northern Ireland","Male","10.4 [9.9-11.1]","10.40330","9.87000","11.06230","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.6 [7.3-8.0]","7.62000","7.28000","8.00000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.0 [6.8-7.3]","7.03000","6.78000","7.28000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.7 [3.5-3.9]","3.68000","3.49000","3.89000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","6.7 [6.5-7.0]","6.71000","6.46000","6.98000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.1 [2.9-3.2]","3.06000","2.90000","3.23000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Male","12.4 [11.9-12.9]","12.38120","11.86150","12.92460","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.1 [3.0-3.3]","3.10000","2.95000","3.25000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.6 [7.3-8.0]","7.64000","7.29000","8.03000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.4 [11.0-11.8]","11.41110","11.00910","11.83060","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Male","12.0 [11.5-12.6]","12.01420","11.49600","12.60440","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.1 [10.7-11.5]","11.09210","10.72580","11.50590","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.8 [11.2-12.3]","11.75450","11.23290","12.29010","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.4 [7.1-7.7]","7.42000","7.11000","7.74000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Europe","United Kingdom of Great Britain and Northern Ireland","Female","2.9 [2.8-3.1]","2.92000","2.78000","3.07000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.4 [3.2-3.5]","3.35000","3.18000","3.53000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Male","11.8 [11.3-12.3]","11.77980","11.28800","12.34270","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.4 [7.0-7.7]","7.36000","7.02000","7.71000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.2 [3.0-3.4]","3.18000","3.03000","3.36000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.5 [3.3-3.7]","3.45000","3.26000","3.66000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.2 [3.0-3.3]","3.15000","2.99000","3.33000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.5 [3.3-3.7]","3.48000","3.31000","3.65000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Europe","United Kingdom of Great Britain and Northern Ireland","Male","12.0 [11.6-12.4]","12.02060","11.60770","12.40830","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Europe","United Kingdom of Great Britain and Northern Ireland","Male","10.8 [10.3-11.4]","10.78360","10.26520","11.39190","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.2 [3.1-3.4]","3.22000","3.08000","3.36000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.2 [6.9-7.4]","7.15000","6.88000","7.44000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Both sexes","7.7 [7.4-8.1]","7.71000","7.38000","8.07000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.6 [3.5-3.8]","3.62000","3.46000","3.78000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.4 [3.2-3.6]","3.39000","3.24000","3.57000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Europe","United Kingdom of Great Britain and Northern Ireland","Female","3.1 [3.0-3.3]","3.10000","2.95000","3.26000","","",""
